id,date_publication,titre,entreprise,ville,type_contrat,secteur,niveau_requis,competences,salaire,teletravail,experience_requise_ans,mois,trimestre,categorie,est_stage
504,2023-11-13,Data Scientist,Mirakl,Paris,Freelance,RetailTech,Bac+5,"AWS, Pandas, Hugging Face, Azure, Deep Learning, API REST, Machine Learning",613.0,Non,5,2023-11,2023Q4,Data Science,False
505,2023-07-20,Stagiaire Data Analyst,Owkin,Grenoble,CDI,SaaS,Bac+5,"PyTorch, Deep Learning, GCP, API REST, Airflow, Docker, Scikit-learn",35873.0,Non,2,2023-07,2023Q3,Data Analysis,False
506,2023-08-25,Stagiaire ML,Alan,Paris,Alternance,DeepTech,Bac+3,"Airflow, PyTorch, API REST, Machine Learning, SQL",1749.0,Non,0,2023-08,2023Q3,Stage,False
507,2024-05-01,AI Researcher,Mirakl,Paris,CDI,DeepTech,Bac+8 (PhD),"PyTorch, Scikit-learn, Machine Learning, NLP, Pandas",80579.0,Oui,5,2024-05,2024Q2,Recherche IA,False
508,2024-02-08,Computer Vision Engineer,Contentsquare,Lyon,CDI,LegalTech,Bac+5,"TensorFlow, LLM, API REST",42924.0,Hybride,5,2024-02,2024Q1,Data Engineering,False
509,2023-12-24,Data Analyst,ManoMano,Marseille,CDI,EdTech,Bac+5,"GCP, Airflow, Deep Learning, SQL, Machine Learning, Azure",59341.0,Non,0,2023-12,2023Q4,Data Analysis,False
510,2023-12-08,Computer Vision Engineer,Alan,Paris,CDI,EdTech,Bac+4,"Azure, Python, SQL, AWS",44013.0,Oui,5,2023-12,2023Q4,Data Engineering,False
511,2024-02-09,Business Intelligence Analyst,Alan,Paris,CDD,HealthTech,Bac+4,"RAG, Python, Computer Vision, NLP, AWS, Power BI",55936.0,Hybride,0,2024-02,2024Q1,Data Analysis,False
512,2024-05-06,Data Scientist,BlaBlaCar,Bordeaux,CDD,EdTech,Bac+5,"GCP, NLP, Deep Learning, RAG, LLM, dbt",37707.0,Non,0,2024-05,2024Q2,Data Science,False
513,2024-03-18,Stagiaire Data Analyst,Owkin,Paris,Stage,SaaS,Bac+5,"dbt, LLM, Kubernetes",875.0,Non,5,2024-03,2024Q1,Data Analysis,True
514,2023-08-29,Data Engineer,Ekimetrics,Lille,CDI,EdTech,Bac+5,"LLM, SQL, Tableau, AWS",68999.0,Hybride,2,2023-08,2023Q3,Data Engineering,False
515,2024-01-14,Data Analyst,Ekimetrics,Paris,CDI,RetailTech,Bac+5,"NLP, Machine Learning, Azure, Scikit-learn, Git",61039.0,Oui,0,2024-01,2024Q1,Data Analysis,False
516,2024-04-21,Data Scientist,Back Market,Paris,CDI,SaaS,Bac+5,"Spark, NLP, Tableau, Machine Learning, LLM, Docker, Git",67256.0,Oui,0,2024-04,2024Q2,Data Science,False
517,2023-10-06,Business Intelligence Analyst,Alan,Toulouse,CDI,HealthTech,Bac+4,"Kubernetes, Git, SQL",43055.0,Oui,5,2023-10,2023Q4,Data Analysis,False
518,2023-11-08,Stagiaire Data Analyst,Dataiku,Paris,CDI,RetailTech,Bac+5,"Scikit-learn, AWS, LLM, TensorFlow, RAG, Spark, Machine Learning",65270.0,Non,5,2023-11,2023Q4,Data Analysis,False
519,2023-07-23,Data Scientist,PhotoRoom,Nantes,CDI,FinTech,Bac+5,"Hugging Face, SQL, Spark, Azure, TensorFlow, Python",70183.0,Non,0,2023-07,2023Q3,Data Science,False
520,2024-06-27,Computer Vision Engineer,Owkin,Paris,CDI,LegalTech,Bac+5,"PyTorch, RAG, Machine Learning, Deep Learning, AWS, NLP, Spark",74400.0,Non,1,2024-06,2024Q2,Data Engineering,False
521,2024-02-09,Stagiaire ML,BlaBlaCar,Paris,CDI,LegalTech,Bac+8 (PhD),"Kubernetes, Deep Learning, AWS, RAG, LLM, TensorFlow",53557.0,Oui,3,2024-02,2024Q1,Stage,False
522,2023-07-01,ML Engineer,Contentsquare,Paris,CDI,RetailTech,Bac+5,"Machine Learning, Deep Learning, Airflow, TensorFlow, API REST",39219.0,Hybride,1,2023-07,2023Q3,ML Engineering,False
523,2024-03-23,MLOps Engineer,Shift Technology,Paris,CDD,HealthTech,Bac+8 (PhD),"Scikit-learn, Spark, RAG, SQL",66024.0,Hybride,3,2024-03,2024Q1,ML Engineering,False
524,2024-04-01,NLP Engineer,Owkin,Paris,CDI,EdTech,Bac+5,"Python, NLP, Machine Learning, PyTorch",46486.0,Non,5,2024-04,2024Q2,Data Engineering,False
525,2024-06-16,Computer Vision Engineer,Payfit,Lyon,Stage,SaaS,Bac+5,"Pandas, TensorFlow, Azure, Airflow",1079.0,Non,0,2024-06,2024Q2,Data Engineering,True
526,2024-06-08,ML Engineer,Withings,Paris,Freelance,MarTech,Bac+5,"GCP, SQL, Hugging Face, PyTorch, NLP, API REST, Machine Learning",463.0,Non,0,2024-06,2024Q2,ML Engineering,False
527,2023-10-09,MLOps Engineer,Doctolib,Paris,Stage,E-commerce,Bac+8 (PhD),"Pandas, Deep Learning, Computer Vision, Hugging Face",1114.0,Hybride,0,2023-10,2023Q4,ML Engineering,True
528,2024-01-03,Computer Vision Engineer,Shift Technology,Rennes,CDI,SaaS,Bac+4,"Airflow, SQL, Pandas, Deep Learning",40628.0,Non,0,2024-01,2024Q1,Data Engineering,False
529,2024-02-06,ML Engineer,Withings,Grenoble,CDI,LegalTech,Bac+4,"SQL, Azure, dbt",61172.0,Non,1,2024-02,2024Q1,ML Engineering,False
530,2023-08-05,Business Intelligence Analyst,PhotoRoom,Paris,CDI,FinTech,Bac+5,"API REST, Scikit-learn, SQL, Deep Learning, GCP, LLM, PyTorch",38339.0,Non,3,2023-08,2023Q3,Data Analysis,False
531,2024-06-05,Data Analyst,ManoMano,Paris,Stage,MarTech,Bac+5,"Spark, Git, Scikit-learn",1180.0,Non,0,2024-06,2024Q2,Data Analysis,True
532,2023-12-17,Stagiaire ML,Contentsquare,Lyon,Alternance,LegalTech,Bac+4,"Spark, API REST, Deep Learning, Kubernetes, Git",1508.0,Non,0,2023-12,2023Q4,Stage,False
533,2024-05-15,Data Analyst,Mirakl,Paris,CDD,SaaS,Bac+3,"RAG, NLP, SQL, Power BI, TensorFlow, Pandas",41489.0,Oui,2,2024-05,2024Q2,Data Analysis,False
534,2023-12-08,Business Intelligence Analyst,Doctolib,Paris,Stage,EdTech,Bac+5,"Scikit-learn, Git, Pandas, Azure",1032.0,Oui,1,2023-12,2023Q4,Data Analysis,True
535,2024-06-04,ML Engineer,Kayrros,Bordeaux,CDI,RetailTech,Bac+5,"GCP, RAG, SQL",42496.0,Oui,2,2024-06,2024Q2,ML Engineering,False
536,2023-09-02,Computer Vision Engineer,Mirakl,Paris,Stage,RetailTech,Bac+4,"PyTorch, Kubernetes, Spark, Docker, Hugging Face, API REST",1026.0,Hybride,3,2023-09,2023Q3,Data Engineering,True
537,2023-12-01,Data Engineer,Ekimetrics,Toulouse,CDI,SaaS,Bac+5,"Power BI, Computer Vision, NLP",53371.0,Non,1,2023-12,2023Q4,Data Engineering,False
538,2024-03-16,Data Scientist,Younited,Toulouse,CDI,RetailTech,Bac+4,"Git, Spark, API REST, Kubernetes, Power BI, RAG",48408.0,Hybride,0,2024-03,2024Q1,Data Science,False
539,2023-12-06,NLP Engineer,Payfit,Toulouse,Stage,FinTech,Bac+4,"SQL, NLP, Git",660.0,Non,3,2023-12,2023Q4,Data Engineering,True
540,2024-06-06,NLP Engineer,Back Market,Paris,CDI,FinTech,Bac+5,"GCP, Deep Learning, Scikit-learn, NLP, Spark, Machine Learning",53014.0,Hybride,5,2024-06,2024Q2,Data Engineering,False
541,2024-01-26,NLP Engineer,Owkin,Lyon,Stage,FinTech,Bac+5,"TensorFlow, dbt, Docker, Spark",811.0,Non,5,2024-01,2024Q1,Data Engineering,True
542,2023-12-15,AI Researcher,ManoMano,Marseille,CDI,FinTech,Bac+4,"GCP, Scikit-learn, RAG, Git",77195.0,Non,2,2023-12,2023Q4,Recherche IA,False
543,2024-01-23,ML Engineer,Owkin,Paris,Stage,DeepTech,Bac+3,"PyTorch, dbt, Azure, Scikit-learn, GCP, Python",1012.0,Hybride,1,2024-01,2024Q1,ML Engineering,True
544,2024-06-21,MLOps Engineer,Kayrros,Nantes,CDI,E-commerce,Bac+5,"Docker, Power BI, API REST",44087.0,Hybride,0,2024-06,2024Q2,ML Engineering,False
545,2023-11-29,Stagiaire Data Analyst,Dataiku,Lyon,CDI,E-commerce,Bac+5,"Hugging Face, Kubernetes, Git",62766.0,Hybride,1,2023-11,2023Q4,Data Analysis,False
546,2024-04-09,Data Scientist,Mirakl,Paris,CDI,FinTech,Bac+4,"Tableau, dbt, Scikit-learn",36328.0,Non,1,2024-04,2024Q2,Data Science,False
547,2023-09-04,ML Engineer,Back Market,Lille,Stage,HealthTech,Bac+5,"GCP, Machine Learning, LLM, Pandas, TensorFlow, Kubernetes, Spark",1123.0,Hybride,2,2023-09,2023Q3,ML Engineering,True
548,2023-10-07,Stagiaire ML,Contentsquare,Lyon,Stage,EdTech,Bac+8 (PhD),"GCP, Pandas, Spark, Kubernetes, dbt, Airflow, Computer Vision",756.0,Oui,0,2023-10,2023Q4,Stage,True
549,2024-02-01,Business Intelligence Analyst,Back Market,Paris,Stage,E-commerce,Bac+5,"Scikit-learn, NLP, Computer Vision, Deep Learning, GCP",667.0,Non,2,2024-02,2024Q1,Data Analysis,True
550,2024-06-05,Stagiaire Data Science,Owkin,Nantes,CDI,HealthTech,Bac+5,"AWS, GCP, Machine Learning, Pandas, Scikit-learn",56866.0,Non,0,2024-06,2024Q2,Stage,False
551,2024-01-11,AI Researcher,Hugging Face,Paris,Alternance,RetailTech,Bac+3,"Deep Learning, PyTorch, Airflow",1338.0,Non,0,2024-01,2024Q1,Recherche IA,False
552,2024-06-11,Data Engineer,Doctolib,Grenoble,Stage,DeepTech,Bac+5,"Azure, Python, Docker, Power BI, LLM, TensorFlow, NLP",768.0,Non,5,2024-06,2024Q2,Data Engineering,True
553,2023-09-28,Stagiaire Data Analyst,Mistral AI,Grenoble,CDI,LegalTech,Bac+5,"Docker, Pandas, Machine Learning",65158.0,Hybride,5,2023-09,2023Q3,Data Analysis,False
554,2024-05-11,Business Intelligence Analyst,ManoMano,Marseille,CDI,E-commerce,Bac+4,"RAG, Kubernetes, Azure, GCP, Git, NLP",64067.0,Hybride,2,2024-05,2024Q2,Data Analysis,False
555,2024-04-17,Computer Vision Engineer,Younited,Paris,CDD,SaaS,Bac+4,"RAG, TensorFlow, Docker, PyTorch, Airflow",69910.0,Non,1,2024-04,2024Q2,Data Engineering,False
556,2023-12-02,Data Scientist,Mirakl,Paris,Stage,RetailTech,Bac+4,"dbt, Docker, Scikit-learn, PyTorch",658.0,Hybride,3,2023-12,2023Q4,Data Science,True
557,2024-01-24,AI Researcher,PhotoRoom,Paris,CDI,LegalTech,Bac+5,"PyTorch, GCP, AWS, TensorFlow",65544.0,Oui,0,2024-01,2024Q1,Recherche IA,False
558,2024-04-06,Business Intelligence Analyst,Dataiku,Paris,CDI,MarTech,Bac+3,"TensorFlow, Scikit-learn, Airflow, dbt, PyTorch, Pandas, LLM",64728.0,Non,0,2024-04,2024Q2,Data Analysis,False
559,2023-07-01,Business Intelligence Analyst,Alan,Nantes,Freelance,SaaS,Bac+5,"LLM, PyTorch, API REST, Docker, Deep Learning, Python",667.0,Oui,2,2023-07,2023Q3,Data Analysis,False
560,2023-12-03,Business Intelligence Analyst,BlaBlaCar,Paris,CDD,EdTech,Bac+4,"Python, Git, LLM, Computer Vision",38159.0,Non,1,2023-12,2023Q4,Data Analysis,False
561,2023-11-24,Stagiaire Data Science,Hugging Face,Paris,Stage,SaaS,Bac+8 (PhD),"RAG, Git, Scikit-learn, Kubernetes",950.0,Oui,0,2023-11,2023Q4,Stage,True
562,2023-10-16,Stagiaire Data Analyst,Doctolib,Paris,CDD,HealthTech,Bac+5,"Deep Learning, Docker, Python, Tableau, Hugging Face, Spark, Scikit-learn",37546.0,Non,0,2023-10,2023Q4,Data Analysis,False
563,2024-02-06,Stagiaire Data Science,Kayrros,Paris,Stage,LegalTech,Bac+8 (PhD),"RAG, Computer Vision, Spark, API REST",656.0,Oui,0,2024-02,2024Q1,Stage,True
564,2024-04-22,MLOps Engineer,Qonto,Toulouse,Stage,MarTech,Bac+5,"AWS, API REST, Machine Learning, Computer Vision, Tableau, Pandas",1127.0,Hybride,3,2024-04,2024Q2,ML Engineering,True
565,2024-05-06,MLOps Engineer,Shift Technology,Paris,CDI,DeepTech,Bac+5,"AWS, dbt, Tableau",47678.0,Non,2,2024-05,2024Q2,ML Engineering,False
566,2024-05-31,Business Intelligence Analyst,Back Market,Paris,Stage,HealthTech,Bac+5,"Docker, dbt, Scikit-learn",1136.0,Oui,5,2024-05,2024Q2,Data Analysis,True
567,2023-12-12,Computer Vision Engineer,ManoMano,Lyon,Stage,HealthTech,Bac+5,"Scikit-learn, Docker, PyTorch, Power BI, AWS, TensorFlow",955.0,Oui,0,2023-12,2023Q4,Data Engineering,True
568,2024-02-24,AI Researcher,Mistral AI,Paris,CDI,DeepTech,Bac+5,"Computer Vision, Kubernetes, Machine Learning, RAG, Tableau, GCP",58648.0,Hybride,1,2024-02,2024Q1,Recherche IA,False
569,2024-02-12,NLP Engineer,Shift Technology,Lyon,CDI,LegalTech,Bac+5,"LLM, Scikit-learn, GCP, RAG",73021.0,Oui,2,2024-02,2024Q1,Data Engineering,False
570,2024-02-12,AI Researcher,Swile,Paris,Stage,LegalTech,Bac+3,"NLP, SQL, Docker, RAG, GCP, API REST, LLM",980.0,Oui,0,2024-02,2024Q1,Recherche IA,True
571,2024-06-10,ML Engineer,Withings,Paris,CDI,DeepTech,Bac+3,"Docker, Azure, NLP, Deep Learning, AWS",53900.0,Oui,2,2024-06,2024Q2,ML Engineering,False
572,2023-10-18,Stagiaire ML,Qonto,Paris,CDI,HealthTech,Bac+5,"Python, Deep Learning, API REST, Airflow",73861.0,Hybride,5,2023-10,2023Q4,Stage,False
573,2024-03-18,Business Intelligence Analyst,Doctolib,Paris,CDI,E-commerce,Bac+4,"NLP, RAG, Power BI, Airflow, Azure, API REST, Deep Learning",59431.0,Hybride,3,2024-03,2024Q1,Data Analysis,False
574,2024-02-28,Data Scientist,Swile,Paris,CDI,RetailTech,Bac+3,"PyTorch, RAG, SQL, TensorFlow, Kubernetes",35220.0,Non,0,2024-02,2024Q1,Data Science,False
575,2023-09-25,Data Scientist,Withings,Paris,CDI,E-commerce,Bac+5,"dbt, Power BI, Azure, SQL, Docker",39321.0,Hybride,0,2023-09,2023Q3,Data Science,False
576,2024-06-02,MLOps Engineer,Mirakl,Paris,Stage,RetailTech,Bac+4,"API REST, Azure, PyTorch, Deep Learning",908.0,Hybride,1,2024-06,2024Q2,ML Engineering,True
577,2023-08-13,Business Intelligence Analyst,Back Market,Paris,Freelance,MarTech,Bac+5,"Airflow, AWS, GCP, dbt, Deep Learning",435.0,Oui,0,2023-08,2023Q3,Data Analysis,False
578,2023-11-23,ML Engineer,Ekimetrics,Paris,CDI,RetailTech,Bac+5,"Docker, dbt, NLP, Power BI, Kubernetes, PyTorch, Deep Learning",55296.0,Hybride,0,2023-11,2023Q4,ML Engineering,False
579,2024-03-20,Data Engineer,Swile,Lyon,CDI,HealthTech,Bac+4,"Hugging Face, GCP, Computer Vision, LLM, AWS, Deep Learning, Power BI",74713.0,Oui,0,2024-03,2024Q1,Data Engineering,False
580,2024-06-04,Data Scientist,Mirakl,Paris,CDI,E-commerce,Bac+5,"dbt, Docker, GCP, API REST, TensorFlow, Scikit-learn",51873.0,Non,0,2024-06,2024Q2,Data Science,False
581,2024-05-20,Stagiaire ML,Shift Technology,Lyon,Freelance,LegalTech,Bac+4,"Python, Git, Deep Learning, Spark, TensorFlow",643.0,Non,0,2024-05,2024Q2,Stage,False
582,2024-05-13,Data Engineer,Hugging Face,Lille,CDD,HealthTech,Bac+3,"Machine Learning, Power BI, GCP, API REST",67848.0,Oui,2,2024-05,2024Q2,Data Engineering,False
583,2023-12-19,NLP Engineer,Payfit,Paris,Stage,FinTech,Bac+3,"Pandas, Deep Learning, SQL",755.0,Non,0,2023-12,2023Q4,Data Engineering,True
584,2023-08-17,AI Researcher,Mistral AI,Lyon,Stage,HealthTech,Bac+5,"Machine Learning, Docker, AWS",669.0,Oui,3,2023-08,2023Q3,Recherche IA,True
585,2023-10-29,Data Engineer,Kayrros,Paris,CDI,MarTech,Bac+5,"Pandas, PyTorch, AWS, dbt, Python, Machine Learning, TensorFlow",39841.0,Non,0,2023-10,2023Q4,Data Engineering,False
586,2024-06-09,MLOps Engineer,Payfit,Paris,Stage,LegalTech,Bac+5,"Spark, Computer Vision, RAG, Machine Learning, Deep Learning, GCP, Python",648.0,Hybride,0,2024-06,2024Q2,ML Engineering,True
587,2023-12-06,AI Researcher,Hugging Face,Lyon,Freelance,LegalTech,Bac+5,"API REST, LLM, Python, Git",78753.0,Hybride,5,2023-12,2023Q4,Recherche IA,False
588,2023-10-24,Computer Vision Engineer,Hugging Face,Paris,Stage,RetailTech,Bac+8 (PhD),"GCP, RAG, PyTorch, Scikit-learn, AWS",982.0,Non,2,2023-10,2023Q4,Data Engineering,True
589,2023-10-10,NLP Engineer,BlaBlaCar,Nantes,Stage,HealthTech,Bac+4,"Computer Vision, Spark, Power BI, Deep Learning",1034.0,Non,0,2023-10,2023Q4,Data Engineering,True
590,2023-09-14,MLOps Engineer,Withings,Paris,Freelance,E-commerce,Bac+4,"NLP, API REST, dbt, GCP",614.0,Hybride,0,2023-09,2023Q3,ML Engineering,False
591,2023-07-13,Data Analyst,Mirakl,Paris,CDI,EdTech,Bac+5,"NLP, Deep Learning, Tableau, Docker, Scikit-learn",46802.0,Hybride,2,2023-07,2023Q3,Data Analysis,False
592,2023-07-24,Data Engineer,PhotoRoom,Paris,Stage,FinTech,Bac+5,"Power BI, Docker, API REST, Pandas, Machine Learning, NLP, dbt",674.0,Hybride,2,2023-07,2023Q3,Data Engineering,True
593,2023-11-03,Stagiaire Data Analyst,Owkin,Bordeaux,CDI,HealthTech,Bac+5,"Tableau, Scikit-learn, Computer Vision",61092.0,Oui,2,2023-11,2023Q4,Data Analysis,False
594,2024-02-29,NLP Engineer,Ekimetrics,Paris,Stage,DeepTech,Bac+4,"Deep Learning, Git, PyTorch, Machine Learning, dbt, Pandas, Kubernetes",1004.0,Oui,0,2024-02,2024Q1,Data Engineering,True
595,2024-05-08,NLP Engineer,Doctolib,Toulouse,CDI,SaaS,Bac+5,"Airflow, GCP, RAG, Git, API REST, Tableau",52857.0,Hybride,3,2024-05,2024Q2,Data Engineering,False
596,2023-08-07,NLP Engineer,Kayrros,Nantes,CDD,SaaS,Bac+5,"Computer Vision, Airflow, TensorFlow, Scikit-learn, Deep Learning, Azure",71665.0,Non,0,2023-08,2023Q3,Data Engineering,False
597,2024-02-19,Stagiaire Data Analyst,Owkin,Paris,CDI,SaaS,Bac+5,"Python, Deep Learning, Git, SQL",49847.0,Hybride,0,2024-02,2024Q1,Data Analysis,False
598,2024-01-29,ML Engineer,Mirakl,Lyon,Stage,HealthTech,Bac+4,"Hugging Face, AWS, Kubernetes, TensorFlow, Docker, API REST",825.0,Oui,5,2024-01,2024Q1,ML Engineering,True
599,2024-05-18,MLOps Engineer,Payfit,Paris,CDI,EdTech,Bac+5,"Scikit-learn, Pandas, Docker, AWS, NLP, Azure",70604.0,Hybride,1,2024-05,2024Q2,ML Engineering,False
600,2024-04-20,MLOps Engineer,Alan,Paris,CDI,SaaS,Bac+5,"Python, SQL, Power BI, Deep Learning, Tableau, Scikit-learn, Kubernetes",60833.0,Non,0,2024-04,2024Q2,ML Engineering,False
601,2023-10-08,Data Scientist,PhotoRoom,Paris,CDI,SaaS,Bac+4,"LLM, AWS, API REST, Docker",51385.0,Non,0,2023-10,2023Q4,Data Science,False
602,2024-06-21,AI Researcher,Back Market,Paris,Stage,SaaS,Bac+4,"NLP, Deep Learning, RAG, AWS, API REST, LLM",819.0,Non,3,2024-06,2024Q2,Recherche IA,True
603,2024-01-13,ML Engineer,Withings,Paris,Alternance,MarTech,Bac+4,"SQL, Tableau, Airflow, NLP, RAG, Git, dbt",1551.0,Oui,0,2024-01,2024Q1,ML Engineering,False
604,2024-03-10,Stagiaire Data Science,ManoMano,Paris,CDI,FinTech,Bac+8 (PhD),"TensorFlow, dbt, Git",55218.0,Hybride,1,2024-03,2024Q1,Stage,False
605,2024-01-21,NLP Engineer,Younited,Paris,CDI,LegalTech,Bac+5,"Power BI, dbt, SQL",36238.0,Oui,5,2024-01,2024Q1,Data Engineering,False
606,2023-11-02,AI Researcher,Mistral AI,Paris,CDI,E-commerce,Bac+5,"Machine Learning, GCP, API REST, Docker, Deep Learning, Kubernetes, PyTorch",81467.0,Non,0,2023-11,2023Q4,Recherche IA,False
607,2023-09-14,Computer Vision Engineer,ManoMano,Grenoble,CDI,FinTech,Bac+8 (PhD),"RAG, Computer Vision, Power BI, Airflow, Python, NLP",39646.0,Non,2,2023-09,2023Q3,Data Engineering,False
608,2024-05-31,Stagiaire Data Science,BlaBlaCar,Nantes,CDI,SaaS,Bac+5,"Kubernetes, RAG, Deep Learning, NLP, GCP, Pandas",59118.0,Hybride,5,2024-05,2024Q2,Stage,False
609,2024-06-17,Business Intelligence Analyst,Ekimetrics,Paris,Alternance,SaaS,Bac+5,"Hugging Face, Docker, dbt, Power BI",1769.0,Hybride,0,2024-06,2024Q2,Data Analysis,False
610,2023-07-03,MLOps Engineer,Alan,Paris,CDI,LegalTech,Bac+4,"Docker, Airflow, SQL, RAG",56656.0,Hybride,5,2023-07,2023Q3,ML Engineering,False
611,2023-08-24,Data Analyst,Qonto,Paris,Stage,DeepTech,Bac+5,"Deep Learning, RAG, Kubernetes, Airflow, Machine Learning, Git, Computer Vision",1057.0,Oui,1,2023-08,2023Q3,Data Analysis,True
612,2024-02-03,Data Analyst,BlaBlaCar,Paris,CDI,LegalTech,Bac+4,"Computer Vision, Docker, Power BI, AWS, LLM",45373.0,Non,2,2024-02,2024Q1,Data Analysis,False
613,2023-10-21,AI Researcher,PhotoRoom,Paris,CDI,SaaS,Bac+8 (PhD),"Computer Vision, Scikit-learn, AWS, LLM, PyTorch, Python, API REST",64459.0,Oui,5,2023-10,2023Q4,Recherche IA,False
614,2023-09-29,Stagiaire ML,Dataiku,Paris,Stage,E-commerce,Bac+4,"Airflow, Azure, LLM, Hugging Face, Power BI, RAG",948.0,Oui,1,2023-09,2023Q3,Stage,True
615,2024-06-21,Computer Vision Engineer,Withings,Lyon,CDI,DeepTech,Bac+5,"Spark, TensorFlow, Git, AWS",54556.0,Non,1,2024-06,2024Q2,Data Engineering,False
616,2024-03-22,Data Analyst,PhotoRoom,Nantes,Alternance,EdTech,Bac+5,"Power BI, Airflow, Docker, Azure",1499.0,Hybride,3,2024-03,2024Q1,Data Analysis,False
617,2024-02-23,Data Engineer,Withings,Paris,Stage,SaaS,Bac+3,"Spark, Deep Learning, TensorFlow, Pandas, Python, API REST",837.0,Non,3,2024-02,2024Q1,Data Engineering,True
618,2023-07-26,NLP Engineer,Mistral AI,Paris,CDI,EdTech,Bac+8 (PhD),"Azure, SQL, Pandas, PyTorch, Airflow, TensorFlow",44110.0,Non,5,2023-07,2023Q3,Data Engineering,False
619,2024-04-11,MLOps Engineer,Mistral AI,Bordeaux,Freelance,FinTech,Bac+5,"Azure, SQL, Git, NLP",613.0,Oui,1,2024-04,2024Q2,ML Engineering,False
620,2023-11-05,Stagiaire Data Science,Shift Technology,Toulouse,CDI,LegalTech,Bac+5,"Machine Learning, Power BI, dbt, AWS, Tableau",39993.0,Oui,3,2023-11,2023Q4,Stage,False
621,2023-09-01,Stagiaire ML,Owkin,Nantes,CDI,LegalTech,Bac+4,"Deep Learning, Computer Vision, AWS, RAG, Git, Airflow, NLP",72762.0,Hybride,0,2023-09,2023Q3,Stage,False
622,2024-02-19,Business Intelligence Analyst,Ekimetrics,Rennes,CDI,RetailTech,Bac+5,"RAG, Git, Tableau, Spark, Power BI",54336.0,Oui,0,2024-02,2024Q1,Data Analysis,False
623,2023-09-07,Data Engineer,Qonto,Paris,Stage,E-commerce,Bac+4,"Scikit-learn, Power BI, Airflow, RAG, SQL",771.0,Non,5,2023-09,2023Q3,Data Engineering,True
624,2024-02-23,Data Analyst,Kayrros,Paris,Stage,RetailTech,Bac+5,"LLM, Power BI, NLP, AWS, Spark",907.0,Non,2,2024-02,2024Q1,Data Analysis,True
625,2024-06-06,Stagiaire ML,Dataiku,Nantes,Stage,LegalTech,Bac+5,"Docker, Python, Azure, Hugging Face, SQL",1188.0,Non,3,2024-06,2024Q2,Stage,True
627,2024-04-12,Data Scientist,PhotoRoom,Paris,CDI,SaaS,Bac+5,"Airflow, Docker, Machine Learning, Spark, Git, Pandas",69158.0,Hybride,1,2024-04,2024Q2,Data Science,False
628,2024-04-30,Stagiaire Data Analyst,BlaBlaCar,Grenoble,CDD,DeepTech,Bac+5,"SQL, Airflow, Machine Learning, NLP, AWS, Power BI",37498.0,Oui,0,2024-04,2024Q2,Data Analysis,False
629,2023-12-10,Stagiaire ML,Back Market,Paris,CDI,MarTech,Bac+8 (PhD),"Computer Vision, Machine Learning, dbt, Power BI, Hugging Face",60064.0,Non,5,2023-12,2023Q4,Stage,False
630,2024-02-12,Data Scientist,Shift Technology,Paris,CDI,FinTech,Bac+5,"Azure, PyTorch, Scikit-learn",62509.0,Non,0,2024-02,2024Q1,Data Science,False
631,2024-05-09,Stagiaire Data Analyst,Younited,Paris,Stage,E-commerce,Bac+5,"Kubernetes, RAG, Machine Learning, Deep Learning, PyTorch",780.0,Hybride,5,2024-05,2024Q2,Data Analysis,True
632,2024-03-15,ML Engineer,PhotoRoom,Paris,Stage,MarTech,Bac+8 (PhD),"AWS, Power BI, Kubernetes, Scikit-learn, NLP, TensorFlow, Airflow",726.0,Non,0,2024-03,2024Q1,ML Engineering,True
633,2024-02-04,Data Analyst,Mistral AI,Strasbourg,CDI,FinTech,Bac+5,"dbt, PyTorch, Tableau, GCP, RAG, Spark",62073.0,Hybride,5,2024-02,2024Q1,Data Analysis,False
634,2024-04-06,Stagiaire Data Science,PhotoRoom,Paris,CDI,FinTech,Bac+5,"Machine Learning, Scikit-learn, Pandas, Airflow",64515.0,Non,3,2024-04,2024Q2,Stage,False
635,2024-02-14,NLP Engineer,Mistral AI,Paris,Stage,E-commerce,Bac+5,"Airflow, TensorFlow, Machine Learning, dbt, PyTorch, RAG, Deep Learning",1052.0,Non,2,2024-02,2024Q1,Data Engineering,True
636,2023-09-20,Stagiaire Data Analyst,Withings,Bordeaux,Stage,SaaS,Bac+5,"Deep Learning, Spark, GCP, Pandas, AWS, Airflow",1108.0,Non,0,2023-09,2023Q3,Data Analysis,True
638,2024-02-16,ML Engineer,Mirakl,Paris,CDI,SaaS,Bac+4,"Docker, Airflow, Spark",48953.0,Oui,1,2024-02,2024Q1,ML Engineering,False
639,2023-11-10,Stagiaire Data Science,Ekimetrics,Lille,Stage,DeepTech,Bac+8 (PhD),"Machine Learning, Python, NLP, TensorFlow, Kubernetes, Tableau",643.0,Hybride,2,2023-11,2023Q4,Stage,True
640,2023-11-04,Stagiaire ML,Younited,Paris,CDI,SaaS,Bac+5,"Airflow, Machine Learning, Deep Learning, LLM, SQL, Azure, Kubernetes",38074.0,Non,3,2023-11,2023Q4,Stage,False
641,2024-05-22,Stagiaire Data Analyst,Withings,Lyon,Stage,DeepTech,Bac+3,"GCP, Git, SQL, Python, Airflow, Computer Vision, Tableau",630.0,Hybride,1,2024-05,2024Q2,Data Analysis,True
